study,figure,assay,cell_line,condition,target,value,trend,model_relation
Gilin et al.,Table 1,model parameter,CPN model,final model,k1,0.1929,,k1
Gilin et al.,Table 1,model parameter,CPN model,final model,k2,0.0007,,k2
Gilin et al.,Table 1,model parameter,CPN model,final model,"k3, k21",0.0148,,k3; k21
Gilin et al.,Table 1,model parameter,CPN model,final model,"k4, k22",1.6732,,k4; k22
Gilin et al.,Table 1,model parameter,CPN model,final model,"k5, k29",0.2681,,k5; k29
Gilin et al.,Table 1,model parameter,CPN model,final model,"k6, k30",0.0809,,k6; k30
Gilin et al.,Table 1,model parameter,CPN model,final model,"k12, k15",1.5478,,k12; k15
Gilin et al.,Table 1,model parameter,CPN model,final model,"k13, k16",0.0416,,k13; k16
Gilin et al.,Table 1,model parameter,CPN model,final model,"k14, k17",0.0226,,k14; k17
Gilin et al.,Table 1,model parameter,CPN model,final model,k18,0.4738,,k18
Gilin et al.,Table 1,model parameter,CPN model,final model,k19,0.1392,,k19
Gilin et al.,Table 1,model parameter,CPN model,final model,k20,0.2144,,k20
Gilin et al.,Table 1,model parameter,CPN model,final model,ILK tr1,1,,HIF -> ILK
Gilin et al.,Table 1,model parameter,CPN model,final model,ILK tr2,1,,HIF -> ILK
Gilin et al.,Table 1,model parameter,CPN model,final model,ILK deg,3,,ILK degradation
Gilin et al.,Table 1,model parameter,CPN model,final model,FL1,0.4181,,ILK -> p-Akt
Gilin et al.,Table 1,model parameter,CPN model,final model,FL2,0.4181,,p-Akt -> p-mTOR
Gilin et al.,Table 1,model parameter,CPN model,final model,FL3,0.4181,,p-mTOR -> HIF
Gilin et al.,Table 1,model parameter,CPN model,final model,pAkt deg,0.2,,p-Akt degradation
Gilin et al.,Table 1,model parameter,CPN model,final model,pmTOR deg,3,,p-mTOR degradation
Gilin et al.,Table 2,initial marking,CPN model,simulation,VHL,10,,VHL
Gilin et al.,Table 2,initial marking,CPN model,simulation,PHD,10,,PHD
Gilin et al.,Table 2,initial marking,CPN model,simulation,ARNT,5,,ARNT
Gilin et al.,Table 2,initial marking,CPN model,simulation,HRE,1,,HRE
Gilin et al.,Table 2,initial marking,CPN model,oxygen sweep,O2,0.1-0.9,,O2
Gilin et al.,Figure 5,simulation,CPN model,O2 = 0.1,HIF,757.26,up,O2 -> HIF
Gilin et al.,Figure 5,simulation,CPN model,O2 = 0.9,HIF,0.07,down,O2 -> HIF
Gilin et al.,Figure 7a,simulation,CPN model,O2 sweep,HIF,,switch around O2 = 0.6,O2 -> HIF
