Time,ILK_protein,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,p_473S_Akt,p_mTOR
0,0,0.7,10,0,0,0,0,10,0,0,0,5,0,1,0,0,0
10,0.0001616405007908892,0.7,8.234500555271964,1.755947537811776,0.00791442085989218,0.00955190691631023,0.0003698269397695339,9.92604618449853,0.07395381550147323,0.0003442183060005612,0.0206894442168939,4.989431979875745,0.0001313247689647598,0.9994850385003663,0.000170743193697854,0.0001513685860424289,1.944126780619382e-05
20,0.0005712431279084357,0.7,6.718840790451692,3.258712254452679,0.01653615238210316,0.02244695509582576,0.0008406260528510456,9.813453866717101,0.1865461332829022,0.001318963482579862,0.03129255945170897,4.974684346588112,0.0002639267967671972,0.9982358545331469,0.0004451819843309044,0.0007704303648966002,0.0001034998327656868
30,0.001149825264539404,0.7,5.427647476260693,4.53363934074768,0.02426119830249723,0.03871318299162962,0.001317692458922954,9.711175779619857,0.2888242203801434,0.002624419567146276,0.04493883217414031,4.955976096064704,0.0004787778971488248,0.9964857494119966,0.0008898310209150456,0.001803404435591258,0.0002458048370288871
40,0.001865061021601527,0.7,4.32919129117573,5.612328699622949,0.03099835510488324,0.05848000920033863,0.001789264172418799,9.623235094773456,0.3767649052265495,0.004069291667682698,0.06286400391508061,4.933234152794427,0.0008227936283063036,0.9943262197950772,0.001604488537297562,0.00315171104351024,0.0004323470059160725
50,0.002736125428789336,0.7,3.397172478319698,6.520989308638677,0.03682328416946034,0.08183821304134294,0.002254688725421042,9.548361556603222,0.4516384433967831,0.005559793271642932,0.0870179735654935,4.906229744784998,0.001372239832376741,0.9916948863837269,0.002745320344688103,0.004805629648613107,0.0006613095961547577
60,0.003831736429720316,0.7,2.610417451766338,7.280814397961541,0.04182151942584154,0.1087681502720163,0.002715288951918057,9.484936371637223,0.5150636283627816,0.007053938613080034,0.1205782143118337,4.874641841309633,0.002254992968154138,0.9883802735013176,0.00456578788566026,0.006856598067676863,0.000944952789221195
70,0.005283090300370097,0.7,1.953062018559078,7.907926623497978,0.04606298750777439,0.1390113579430862,0.003171076454320202,9.431617864308947,0.56838213569106,0.008531375005557697,0.1688915893128927,4.838109289070448,0.003689579192185144,0.9839813026596306,0.007487322334869538,0.009512181277306951,0.001311591451303983
80,0.007315027833768397,0.7,1.415204421328352,8.412943510395985,0.04959196953544415,0.1718520682758744,0.003617912855410986,9.387456805938426,0.6125431940615801,0.009973628258983772,0.2408987181651714,4.796297443540565,0.006044573104484794,0.9778119977759239,0.01221437396515003,0.01314302944372904,0.001811971039239951
90,0.01028585636226518,0.7,0.9931434244518642,8.801044429378143,0.05242126198171124,0.2058121461688113,0.004044366932562432,9.351948203749243,0.64805179625076,0.01134824976221245,0.3502586127658499,4.749039443196644,0.009886949353158947,0.9687829056507764,0.01986884458706892,0.01835972280098405,0.002529908237125611
100,0.01467151241392459,0.7,0.6852550403135184,9.076217688402961,0.05454829268949745,0.2385272712814996,0.004430675470293089,9.324907265108514,0.6750927348914914,0.01259662413163664,0.5122839360046032,4.696651314867624,0.01585155285277899,0.9554608144718149,0.03194256139660639,0.02604545469130199,0.003587421757017712
110,0.02085396039094451,0.7,0.4802541272715851,9.252355583662492,0.05601736039342763,0.2673902890638523,0.004755706602474965,9.305869683814697,0.6941303161853077,0.01363764668913406,0.7329177532553973,4.640390857149727,0.02419033640985114,0.936727189225532,0.04963516408539392,0.0371169810634479,0.005113270859969665
120,0.02877827328967304,0.7,0.3515565770673945,9.357627947885266,0.05696716798464454,0.2908154750452309,0.00500927451730131,9.293404182907199,0.7065958170928082,0.01439973140754263,1.002205269789125,4.582509898659972,0.03446596285700938,0.9128006110791402,0.07279965751337579,0.05190684898796305,0.007157884943247254
130,0.03792745224087793,0.7,0.2702882595413666,9.421074516037173,0.05757372183335382,0.3086372244194004,0.005194955941866411,9.285461176404754,0.7145388235952539,0.01485723836873917,1.304971411721245,4.525433513728244,0.04599788065685359,0.8852635747459675,0.09987918688535014,0.06977831270950106,0.009636715307360625
140,0.04766130927388248,0.7,0.216558422707957,9.461895154311808,0.0579733185608618,0.3215464229788237,0.005323383266472968,9.280292233904415,0.7197077660955936,0.01503473301303546,1.630831193210644,4.470866344585603,0.05829559703876928,0.8560317478691573,0.128933519117852,0.08951195388829539,0.01238102666564194
150,0.05748187146739074,0.7,0.1791267808360773,9.490365651350276,0.05824876492289109,0.3305075678123227,0.005406654007811961,9.276780155619953,0.7232198443800549,0.01498571501923774,1.97433154937802,4.419576045728738,0.07108925871446491,0.8265795262628192,0.1584347587179873,0.1099351488047909,0.01522621862088167
160,0.06708434383536031,0.7,0.1518050183829088,9.511737675879324,0.05844707038742108,0.336457305736562,0.005455856377086559,9.274284230915258,0.7257157690847482,0.01477037739942548,2.332476815901509,4.371659417712585,0.08423124643178745,0.7978038262576108,0.1874257963430075,0.1302223657496989,0.01805548678782753
170,0.07631040764598525,0.7,0.1311301353753972,9.528689599259888,0.0585949642860148,0.3401802653634746,0.005480136861019517,9.272441433067954,0.7275585669320574,0.0144426775007028,2.703387324959901,4.326869908057832,0.0976374681364837,0.7701677784183784,0.2153895440809624,0.1498928110957486,0.02080041669787668
180,0.08509133155872199,0.7,0.1150028025570777,9.542703482769154,0.0587085599859915,0.3422937146730067,0.005486636540841939,9.271037922536271,0.7289620774637392,0.01404542799563153,3.085619901574422,4.28484157764078,0.1112491763771907,0.7438711052317328,0.2420834667726798,0.1687088096817911,0.02342699440709783
190,0.0934067740348592,0.7,0.1021150270748947,9.55462574242296,0.05879798316549592,0.3432592305014422,0.00548068773337962,9.269940740460669,0.7300592595393421,0.01361016169506308,3.478003876433673,4.245208179224448,0.1250232934688502,0.7189713909280741,0.2674184473769071,0.1865757202658725,0.02592153561994501
