Time,ILK_protein,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,p_473S_Akt,p_mTOR
0,0,0.2,10,0,0,0,0,10,0,0,0,5,0,1,0,0,0
10,8.729896975590681e-05,0.2,8.134877312491039,1.854985259303233,0.002365952601978578,0.01013742820587171,0.0001105704794627736,9.977977536125252,0.02202246387473128,0.0001016850483079696,0.0212565864164442,4.989338600191726,0.0001371911811731594,0.9997237900581002,0.0001745248935648238,8.758544842371328e-05,1.135835514469668e-05
20,0.000289113961834736,0.2,6.344901806513891,3.629548945308366,0.005158588283851059,0.02554924817802973,0.0002635636773584923,9.941733758165114,0.05826624183486853,0.0004044830477971952,0.03464040775241217,4.97298487885779,0.0003084650312593871,0.9991061557443027,0.0004893612078732777,0.0003919058422038175,5.268398692450522e-05
30,0.0006388212217425646,0.2,4.642969876103914,5.309152055752977,0.007897257265705235,0.04787806814341387,0.0004352404105089516,9.90528732357815,0.09471267642183362,0.0008397557519067202,0.05674986876073997,4.949047165785834,0.0006775962722632441,0.998038070611894,0.001122173636171968,0.0009636137961528888,0.0001309034684304464
40,0.00127868376575812,0.2,3.037745288964898,6.882270977614742,0.01051266222715097,0.07998373342083291,0.0006268807334694767,9.870505536319268,0.1294944636807154,0.001367193172696563,0.09962691507749546,4.913862898888456,0.001600467096911164,0.99607398013961,0.002558826687666659,0.001980927004264181,0.0002697927663608926
50,0.00277463611153831,0.2,1.574194645908201,8.299495529823428,0.01293673896748114,0.1263098242688932,0.0008447358474165128,9.838130655221745,0.1618693447782415,0.001975111593816869,0.2101231863755132,4.859630781484229,0.004645471092163572,0.9914308126926572,0.006594075713499315,0.004133818046546797,0.0005611616105655245
60,0.008091668605386468,0.2,0.5027517348956694,9.310233177978841,0.01484526419289548,0.1870150871259021,0.001077998867859825,9.81101388669579,0.1889861133042027,0.002648112232783724,0.6309418805320569,4.767677812341418,0.01894062693093073,0.9747115252660661,0.02264036250112373,0.01077636039156026,0.001447457190820807
70,0.02656358403911554,0.2,0.1715327699339517,9.588557430532868,0.01564303580284169,0.2399097995340568,0.001251471248070495,9.796808699099236,0.20319130090076,0.003236308372956174,1.697736512207182,4.618018591978154,0.05849179729165943,0.9176716600518816,0.07909203157513661,0.03564249779979795,0.004787385021887694
80,0.05693774830510273,0.2,0.09640067234041973,9.626386251553622,0.01586782148718319,0.2772130761067358,0.001358583104459807,9.792440724364194,0.2075592756357999,0.003537837745569563,2.984049614322028,4.441371477560986,0.1060127258408244,0.8259558626129149,0.1705062996414917,0.08811754692370215,0.01199533658478692
90,0.08829211881138846,0.2,0.0662276588921614,9.632288897789119,0.01595034541867545,0.3014834433196675,0.001420371234769479,9.790995653248194,0.209004346751798,0.003556884133910915,4.335960844087882,4.275352979491682,0.1539101554419085,0.7321669494879732,0.2642761663780924,0.1524792403737247,0.02095163874508469
100,0.1152850687025866,0.2,0.05002092918109922,9.634260678006788,0.0159900321975066,0.3157183928132352,0.001449361436188261,9.79036188510514,0.2096381148948525,0.003396260877534477,5.741811162019614,4.133245573640993,0.2012978033642457,0.6517111312545606,0.3448926078678815,0.2130118557221525,0.02942510714120451
