Time,E_cadherin,Foxo3a,ILK_activity,ILK_protein,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,Snail,T315,YB_1,Zeb1,p_473S_Akt,p_GSK3beta,p_mTOR,vimentin
0,1,1,0,0,0.1,10,0,0,0,0,10,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
10,1.785331771299945,0.9999524195816245,7.442080858711559e-05,7.184234671410172e-05,0.1,8.114057708914846,1.875682197865744,0.001193811444975567,0.01026009321940424,5.579354891616922e-05,9.988896318685891,0.01110368131412093,5.118606151919537e-05,0.02137664221293835,4.989319170475033,0.0001384380265492432,0.9997734952697317,0.0001753186686950418,0.003887556733907136,0,6.639046567636514e-05,0.0005962076675917043,6.639046567636515e-05,6.639046567636514e-05,8.466316566644024e-06,0.0006716859870581225
20,2.257895766226868,0.9994534966578219,0.0003107609880014674,0.0002278720812526777,0.1,6.263316612407518,3.710446918238299,0.002625540089141165,0.02623646935408147,0.0001342957568742392,9.970331391779492,0.02966860822051951,0.00020517355348912,0.03542166622087883,4.97260548903702,0.0003190805062897087,0.9992953346539351,0.0004994917924694289,0.007078605888328987,0,0.0003984740805157657,0.001358916628551842,0.0003984740805157658,0.0003984740805157657,5.325845478296713e-05,0.001604999449147485
30,2.538983100679004,0.9978975609229883,0.0007771474243596187,0.0005242929944384572,0.1,4.464783645983307,5.485157141872619,0.00405430783375924,0.05005921214325096,0.000224219864035523,9.951277408984028,0.04872259101598646,0.0004297696107444085,0.05999001069438419,4.947367565885401,0.0007350714349758196,0.998386069327219,0.001184161061895281,0.01201224713310171,0,0.001125385962053731,0.002366500614650563,0.001125385962053731,0.001125385962053731,0.0001523039768865924,0.002828736346972619
40,2.699737309486893,0.9944354092632942,0.001731517841309813,0.001165516697116948,0.1,2.735989107919112,7.178401906791837,0.00544077342797125,0.08560898528352932,0.000327181460639247,9.932723285861385,0.06727671413862815,0.0007071360245547749,0.112940706295989,4.908558617086983,0.001909875399335714,0.996404659229952,0.002888204745354808,0.02170703823522894,0,0.002579423075193917,0.004159458844751102,0.002579423075193917,0.002579423075193917,0.0003500785387433509,0.004966453810799604
50,2.775051971850594,0.9868690258607566,0.004276409710151487,0.003113759963218215,0.1,1.169426148277125,8.691663194879176,0.006723079542912053,0.1389106568348051,0.0004471166208492821,9.915292221079541,0.08470777892047021,0.001033923071996375,0.2832672701188844,4.844070905126133,0.006864311034589681,0.9902929896158109,0.008673087312056502,0.04833063240919599,0,0.006066526626165229,0.008464618193043446,0.006066526626165229,0.006066526626165229,0.0008198277878183953,0.01000426386955148
60,2.741727809243667,0.9656407818732551,0.01523213914881384,0.01256022462117094,0.1,0.2753634924012774,9.522018211124353,0.00757168609163541,0.2026182964666558,0.0005645543307593399,9.902050499165433,0.0979495008345773,0.001387955324006876,1.051804733108744,4.723176180562711,0.0341227108169347,0.9604817421764553,0.03813030249940156,0.1628724762758451,0,0.01899738379168956,0.02495679465133838,0.01899738379168955,0.01899738379168956,0.002534290801161337,0.02891071815420307
70,2.474652830715925,0.8857252498631589,0.05552379045394515,0.04036970976553903,0.1,0.111438678886193,9.638151259868852,0.007815284007223573,0.2504100612444768,0.0006384071298584142,9.897030878399516,0.1029691216004931,0.001643489199071811,2.46780550513733,4.537597342325708,0.08678952509491582,0.8754353357942224,0.1229211750065689,0.4574164923553664,0,0.07275827758406947,0.0780186761943731,0.07275827758406946,0.07275827758406947,0.009748257510844412,0.09077635865844881
80,2.000969822634611,0.6910447725790422,0.123142603158632,0.07637110823522546,0.1,0.06812467067827989,9.648706920316226,0.007882892668571092,0.283168409001462,0.0006827701258389982,9.895679758236319,0.1043202417636916,0.001727326173825882,4.01443705481841,4.340971552592189,0.1425068645580713,0.7673295962772232,0.2309430775488104,0.8445624037424462,0,0.1884333563108689,0.1634549700875857,0.1884333563108689,0.1884333563108689,0.02562506334030193,0.1938007714857288
90,1.520524066069837,0.4639187906763493,0.1946965348864316,0.1093800638063666,0.1,0.04829801042779304,9.648134849526752,0.007909678863300042,0.3035671400413746,0.0007061244023274977,9.895211291554764,0.1047887084452476,0.001679278491337236,5.659512138484737,4.16605624811896,0.1985295125815741,0.6688590251440071,0.3294616963645156,1.27506878587907,0,0.3338203379179208,0.2652133093288897,0.3338203379179208,0.3338203379179208,0.04584216455860736,0.3189012746671406
