Time,E_cadherin,Foxo3a,ILK_activity,ILK_protein,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,Snail,T315,YB_1,Zeb1,p_473S_Akt,p_GSK3beta,p_mTOR,vimentin
0,1,1,0,0,0.9,10,0,0,0,0,10,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0
10,1.785349531759765,0.9999106096577651,0.0001759573103366703,0.0001900528851685395,0.9,8.272352297564419,1.718317634515685,0.009994779564775855,0.009330067919875633,0.0004670243818495188,9.906457163378162,0.09354283662184136,0.0004367568825540593,0.02047724812592674,4.989467693670941,0.000129146543205953,0.9993939325159129,0.0001693106015557083,0.003802372967639115,0,0.0001407163972313668,0.0005885445349225379,0.0001407163972313668,0.0001407163972313668,1.764310251581228e-05,0.0006634168817759797
20,2.258210018725969,0.9985667974159724,0.0009099287474016486,0.0006736348342905091,0.9,6.853877704962836,3.124776453689472,0.02053668642738012,0.02134584134775218,0.001042151286710094,9.768344793844197,0.2316552061558052,0.001649403236693226,0.03017175303400377,4.975283137804487,0.0002494063174158866,0.9979205367564162,0.0004300600069132515,0.00644112608994347,0,0.001130077915966678,0.001273785587812625,0.001130077915966678,0.001130077915966678,0.0001504894732794402,0.001509223810227317
30,2.54079793839875,0.9940660560297077,0.002099075425679858,0.001326985774844696,0.9,5.69749719952026,4.266785489981663,0.02963784488347319,0.03571731049756238,0.001601955315610161,9.647837219140063,0.3521627808599366,0.003229559539381203,0.04161293276047172,4.958202692136328,0.0004261505105297554,0.9959481084600801,0.0008223320005682941,0.009503104938606883,0,0.003159952151386378,0.001988772722111335,0.003159952151386378,0.003159952151386378,0.0004290961024026133,0.002395659403211713
40,2.707032171167352,0.9856287073810405,0.003562276638675709,0.002077258111355294,0.9,4.754758027101833,5.193088438635023,0.03727182494105159,0.05215353426160393,0.002130307379301069,9.548497871135421,0.4515021288645776,0.004919614366667537,0.05501839572430884,4.938730880592757,0.0006748004559924266,0.9936895226896879,0.001390862943675358,0.01321514438179514,0,0.005929151287277269,0.002838986748612863,0.005929151287277269,0.005929151287277269,0.0008122953294182633,0.00344196568731107
50,2.801742316502346,0.9736031980032701,0.005200557781573598,0.002897034201296656,0.9,3.986274530104025,5.943434841206808,0.04362379858552246,0.07029062868785335,0.002625147520138628,9.467313092546163,0.5326869074538342,0.006592977822118542,0.07058552290425629,4.917296763618832,0.001011134721777804,0.9912236745486395,0.002183347629272885,0.01758699411968122,0,0.009164582589035013,0.003850175236972001,0.009164582589035014,0.009164582589035013,0.001261426626078851,0.004686208665014075
60,2.852184574241389,0.9587547467539572,0.006982080617927247,0.003782998074234322,0.9,3.359994417879618,6.550313378787441,0.04888612443483111,0.08969220333154772,0.00308718258914609,9.401077309111972,0.5989226908880266,0.008193018758359994,0.08848564481639648,4.894329149926075,0.001450373173745444,0.9885589090205497,0.003248072221120858,0.02262046612457185,0,0.0127349263743878,0.00502580467609797,0.0127349263743878,0.0127349263743878,0.001757579029516832,0.006135268787700704
70,2.874933159971177,0.9417957338879485,0.008909967793414695,0.004741931116327426,0.9,2.849734650741634,7.040401507339404,0.05323158480945853,0.1098638419173054,0.003517265384896284,9.347070259254973,0.6529297407450294,0.009696016789054712,0.1088185619648099,4.870288271919458,0.002004974232510656,0.9856743534541978,0.004629629756776093,0.02833164171737895,0,0.01661021799944171,0.006368811233129657,0.01661021799944171,0.01661021799944171,0.002296229060520123,0.007793092929001655
80,2.880059766699391,0.9232305670726887,0.01099993102322196,0.005782428220635767,0.9,2.434088180688928,7.435629416648787,0.05681085286238856,0.1302824026607989,0.003915730079839225,9.303047405137324,0.6969525948626757,0.01109226181117046,0.1316467455717389,4.845663650094277,0.002682571591523039,0.9825443544264648,0.00636338376239421,0.03473647246025261,0,0.0208094318138301,0.007883362959596324,0.0208094318138301,0.0208094318138301,0.002879886471669115,0.009664844084875888
90,2.873693737185077,0.9033750918038186,0.01326677299182381,0.006910272393417719,0.9,2.095422080314834,7.754141858617804,0.0597537716537558,0.1504360610666349,0.004282436503233294,9.267162979070751,0.7328370209292432,0.01237734374357524,0.1568861270763273,4.820948108858518,0.003485362206518657,0.979151968634945,0.008470687621511541,0.04183911152714687,0,0.02536382735993073,0.009572036586030598,0.02536382735993073,0.02536382735993073,0.003512907340836785,0.01175395806783097
