Time,E2F1,E_cadherin,Foxo3a,IL6,ILK_activity,ILK_protein,NFkB_activity,NFkB_inactive,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,Snail,Stat3_inactive,T315,YB_1,Zeb1,p_473S_Akt,p_GSK3beta,p_Stat3,p_mTOR,vimentin
0,0,1,1,1,0,0,0,1,0.1,10,0,0,0,0,10,0,0,0,5,0,1,0,0,1,0.4,0,0,0,0,0,0,0
10,0.1407434131401706,1.78413823463696,0.9533121380272981,0.05053361025595716,0.04723516364494045,0.0473697493923162,0.04851061285354322,0.9514893871464574,0.1,8.117691107339329,1.872071947394308,0.001582230710218797,0.01023694526611868,7.393531913355326e-05,9.985287544750356,0.01471245524962928,6.783912415125321e-05,0.02144084069267075,4.989307227974085,0.000138641013671331,0.9997567495730194,0.0001754113028321843,0.009869176514955839,0.7610880364901467,0.4,0.05552362486943761,0.001119905152011028,0.05552362486943761,0.05552362486943761,0.2389119635098536,0.007325512270721544,0.001234052991697793
20,0.06124921580269536,2.244096899760105,0.8094023373397199,0.006351811768790973,0.03151743673374795,0.02146683372076259,0.1363377741451626,0.863662225854838,0.1,6.271608290159634,3.702237364968149,0.003481166519147168,0.0261543448720462,0.0001779884116181708,9.960694191130624,0.0393058088693615,0.0002719321246874214,0.03551350231280934,4.972576654170454,0.0003190526477818637,0.999228040101911,0.0005000277734045923,0.0254390667448724,0.9475887336250522,0.4,0.08036297045335165,0.004736264343970369,0.08036297045335165,0.08036297045335165,0.05241126637494814,0.0113238742026813,0.005502116546491806
30,0.01842615511293858,2.51092440556218,0.774970123075747,0.004072399439564453,0.01081309640994185,0.006960265695366275,0.1048200127448989,0.8951799872551014,0.1,4.493774290994166,5.456523366385809,0.005364861665549148,0.04970234262039136,0.000296475813803866,9.935578681807982,0.06442131819199802,0.0005690106664428198,0.05956734447613656,4.947527744087403,0.000726491423843049,0.9982530539454374,0.001177935388123687,0.02605690389461528,0.9846603468540885,0.4,0.04071253297209954,0.006368056683475704,0.04071253297209954,0.04071253297209954,0.01533965314591194,0.005845648562607117,0.0077783850225519
40,0.006563079874523481,2.669963237011862,0.8156984248523342,0.002287628077510034,0.004489191338820998,0.003474628568728721,0.05260430505857007,0.9473956949414302,0.1,2.803392177630586,7.112206315735818,0.00717567255274769,0.08440150663392151,0.0004307263172833438,9.911370729915026,0.08862927008495962,0.0009335424518858119,0.1098044213452439,4.909577680369718,0.001835942895224275,0.9962458562161425,0.002820601331975626,0.02773275140998674,0.9927580747852245,0.4,0.01629798319974039,0.006562111852030338,0.01629798319974039,0.01629798319974039,0.007241925214776243,0.002338355972144344,0.008147037911968557
50,0.002900092166618833,2.753075685282318,0.8654163663722614,0.001110609866108422,0.004035263389609585,0.00402896892575646,0.02587532946348135,0.9741246705365187,0.1,1.273055121486743,8.591176297353831,0.008846309516195945,0.1357685811594147,0.0005856934811832508,9.888778938180565,0.111221061819419,0.0013594278299955,0.2607106547628587,4.848038463112617,0.006169328481957044,0.9905620662351591,0.008078505934847536,0.04775410794754171,0.9964179387837239,0.4,0.009234886282922674,0.009185017863811448,0.009234886282922674,0.009234886282922674,0.00358206121627712,0.001295947625944943,0.01110881297313887
60,0.00142058943219357,2.739233904713734,0.8965325728760276,0.0007527792700600421,0.009594328414505682,0.01157646931935845,0.02292328020406273,0.9770767197959371,0.1,0.3256529307179393,9.475294979287293,0.01001530490638437,0.1990520899945228,0.0007420542115583157,9.871086396369781,0.1289136036302082,0.001824070804097994,0.9144495554503719,4.736216701388069,0.02914115245426653,0.9651519980484412,0.03302393114746267,0.1429790438453427,0.9980441563655509,0.4,0.01362208490741878,0.02262420509975611,0.01362208490741878,0.01362208490741878,0.00195584363444993,0.00184234525223383,0.02641747928503711
70,0.001022963032402098,2.51489913746375,0.8814675179043681,0.001373989323972142,0.03196547100813296,0.0364074204093621,0.05497963847243349,0.9450203615275663,0.1,0.1261483738996012,9.625635657053047,0.01038608741195124,0.2482159690470056,0.0008445302326037204,9.863740787129554,0.1362592128704365,0.002179855424519111,2.219336528230621,4.561772369282074,0.0777567646248422,0.8885896331865517,0.109230511388931,0.404547178913594,0.9978355514459012,0.4,0.04285994966452387,0.06872747297113317,0.04285994966452387,0.04285994966452387,0.002164448554099811,0.005756493511174384,0.08001029122655838
80,0.001824000439536961,2.082273084432776,0.7815820467042498,0.00364418681602482,0.06887997731057469,0.07073731536460579,0.1398268640055981,0.8601731359944018,0.1,0.07634636271787046,9.641456249700296,0.01048843182615714,0.2821973875813818,0.0009067576689428963,9.861708914791942,0.1382910852080483,0.002317585452097991,3.641536426329828,4.373475173042127,0.1295721638035279,0.7861514820957025,0.2115309324522004,0.7533923088225817,0.9947886932229865,0.4,0.1064089853925064,0.1455412630379274,0.1064089853925064,0.1064089853925064,0.00521130677701484,0.01448305872107542,0.1724883868030564
90,0.004117745935263921,1.623065929650088,0.6248088927718837,0.006993570434224672,0.1073973618917766,0.1032615092792385,0.2436828325674868,0.7563171674325132,0.1,0.05442310811768263,9.641835472739098,0.01052795036280505,0.3037414191426585,0.0009408947310100348,9.861017125688395,0.1389828743116005,0.00227878148095093,5.104284247876119,4.206410456285012,0.1802526475152304,0.6913454176736068,0.3063758008454432,1.130213551557165,0.9888686106051645,0.4,0.1850731595452958,0.2357544771161371,0.1850731595452958,0.1850731595452958,0.01113138939483653,0.02542587575961066,0.2835363239169401
100,0.007241437397234736,1.262683461532481,0.4833900605204506,0.01006603130739315,0.1409045274619497,0.1301055221756641,0.3287613318037677,0.6712386681962325,0.1,0.0420956160658535,9.641918889320058,0.01054747831270175,0.3159854946136344,0.0009552576868910254,9.860702621943473,0.139297378056522,0.002143663647260481,6.601400571981428,4.068102120260719,0.2294959523921631,0.6145388249528184,0.3833175113999215,1.519065184986838,0.9823567427839885,0.4,0.2598323334895047,0.3312690314654049,0.2598323334895047,0.2598323334895047,0.0176432572160123,0.03588742867801836,0.402197392153324
110,0.01016246044559498,1.016523667403756,0.3892731867597835,0.0123252461750454,0.1681103280692781,0.1513014016767092,0.3884449141098845,0.6115550858901155,0.1,0.03422634566515737,9.64396227704397,0.01055838292501062,0.3218113772902589,0.0009568872600439876,9.860533683753102,0.1394663162468936,0.001973562199918376,8.124630399331403,3.954237409282507,0.2773779833223937,0.554383657154772,0.4436427806453093,1.913740916440169,0.9770691250746147,0.4,0.3229983734056952,0.429151187664611,0.3229983734056952,0.3229983734056952,0.0229308749253861,0.04474909195529327,0.5242248113935796
120,0.01240320844618274,0.8520139529122863,0.3339401308288104,0.01388211981419979,0.1898617218386506,0.1680303863302316,0.429319472221222,0.5706805277787781,0.1,0.02879255624737244,9.647754642799653,0.01056493886583268,0.3234528009522061,0.0009509375339067719,9.860434521832332,0.1395654781676639,0.001802270000534508,9.665243301619556,3.858437521647102,0.3239794349027872,0.5068206950357311,0.4913770349637345,2.31093896842284,0.9733071871531278,0.4,0.3740726275197033,0.5281112043843429,0.3740726275197063,0.3740726275197033,0.02669281284687309,0.05191954941199858,0.6477790469886741
130,0.01398781916220641,0.7369572605442318,0.3011358284928244,0.01496645847185755,0.207434795691388,0.1814780303977446,0.4581108417110462,0.541889158288954,0.1,0.02482996385301539,9.652685692274343,0.01056914963930407,0.3224843438719234,0.0009407719275536027,9.86037216266968,0.139627837330313,0.001644435784863238,11.21635134561248,3.775565060795139,0.3693506680647225,0.4683408446590176,0.5300147195561199,2.708891021333394,0.9707086461118541,0.4,0.4151716679881568,0.6274922953427706,0.4151716679881587,0.4151716679881568,0.02929135388814671,0.05768829938516312,0.7719478292496603
140,0.0150972364277837,0.6515456641228623,0.2801547924305869,0.01575080634281714,0.2219075795249137,0.1925321690093351,0.4792686621669082,0.5207313378330919,0.1,0.02181700680812135,9.658227235415175,0.01057203485336333,0.3199557577758495,0.0009284492500169453,9.860330300693047,0.1396696993069486,0.001504567964988412,12.7730869088245,3.702083849586396,0.4135247189026472,0.4364927755147266,0.5620026565202859,3.106682316546697,0.9688748545367299,0.4,0.4486904802556228,0.7269537991978903,0.4486904802556231,0.4486904802556228,0.03112514546327112,0.06239032482539173,0.8962621954760174
