Time,E2F1,E_cadherin,Foxo3a,IL6,ILK_activity,ILK_protein,NFkB_activity,NFkB_inactive,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,Snail,Stat3_inactive,T315,YB_1,Zeb1,p_473S_Akt,p_GSK3beta,p_Stat3,p_mTOR,vimentin
0,0,1,1,1,0,0,0,1,0.1,10,0,0,0,0,10,0,0,0,5,0,1,0,0,1,0.6,0,0,0,0,0,0,0
10,0.2708816072923491,1.783910199494512,0.9431251560564672,1,0.06741977342350169,0.08878881636242458,0.05957507759684459,0.9404249224031558,0.1,8.117008039877357,1.872751433493672,0.001582685901358814,0.01024052662899917,7.395367662021387e-05,9.985285165706676,0.01471483429332599,6.784620787704278e-05,0.0214691507625943,4.989303386740337,0.0001388015829586276,0.9997566686288876,0.0001754851632327045,0.01128636186488648,0.3249749239892055,0.6,0.07228300782457425,0.001223264524602315,0.07228300782457425,0.07228300782457425,0.6750250760107944,0.009438105211401379,0.001344020864971972
20,0.3290563528039906,2.237129669490435,0.7070881152677836,1,0.1003112939039549,0.1097178553607296,0.2268496788894639,0.7731503211105365,0.1,6.260695947022024,3.713070011269341,0.003489879524700572,0.02623404170867146,0.0001784103488255314,9.960621945454056,0.03937805454594343,0.0002722721932000931,0.0358182392675733,4.972491389523713,0.000321676598827088,0.9992255181800082,0.0005022096267888095,0.04008933458212151,0.3235754263424365,0.6,0.1778880253328056,0.006690304923699257,0.1778880253328056,0.1778880253328056,0.6764245736575636,0.02448381655199696,0.007690139271601159
30,0.3369743970615714,2.478769938290043,0.5367459727824302,1,0.1057846214434259,0.1128692629985437,0.2968649297917461,0.7031350702082543,0.1,4.456076432736333,5.493811769970567,0.005398265150856447,0.0501117972932137,0.0002983380447877586,9.935241058571778,0.06475894142822421,0.000571244377634029,0.0607827587292625,4.947080645331962,0.0007430717299333173,0.9982338523998656,0.001194903222497024,0.06066003281585715,0.3235722440659962,0.6,0.2131368507005244,0.01267886570173359,0.2131368507005244,0.2131368507005244,0.6764277559340038,0.02962596819799101,0.01514210416976292
40,0.3380461352496419,2.599753380383238,0.4650086473474178,1,0.1070716223074793,0.1139296585538827,0.3140643175525803,0.6859356824474206,0.1,2.730893077736996,7.183428274630712,0.007244473717230243,0.08567864763241743,0.0004353177595405036,9.910597973751196,0.08940202624880506,0.0009405401527924459,0.1142458901427824,4.908099768571974,0.001928525531706961,0.9961422594956091,0.002917200351594844,0.0755725922287854,0.3235722375155919,0.6,0.2217007250491544,0.01691840964865413,0.2217007250491544,0.2217007250491544,0.6764277624844082,0.03087719383771699,0.02061071218951699
50,0.3381911798822363,2.645929768706562,0.4386695942913664,1,0.1086995024268333,0.1159676948745475,0.3188742759364397,0.6811257240635611,0.1,1.178561936448931,8.682631103803958,0.00894275652253909,0.1388069597471693,0.000594162273794006,9.887590090386798,0.1124099096132071,0.0013745576351259,0.2835564019950862,4.843669934056015,0.006847996121574903,0.9899190521985182,0.008706390166353059,0.1032849941826959,0.3235722375020502,0.6,0.2252348688955582,0.02203210765114668,0.2252348688955582,0.2252348688955582,0.6764277624979499,0.0313721302686911,0.02685235315496059
60,0.3382108084262065,2.599732723632795,0.4264548328733961,1,0.115425168607062,0.1252390979975568,0.3245536487811342,0.6754463512188669,0.1,0.2864329693513193,9.511070482266534,0.01007113030269687,0.2024965483822926,0.0007500229967679861,9.870142989807837,0.1298570101921731,0.001843939211498399,1.028282505860165,4.724229671600733,0.03323117166853315,0.9607074146483013,0.03744864614020049,0.2144931406992567,0.3235722375020224,0.6,0.2333941393566406,0.03833806814998075,0.2333941393566406,0.2333941393566406,0.6764277624979775,0.03245755105102333,0.04566475121643084
70,0.3382134653226703,2.350475268029963,0.4079402721303298,1,0.1384545264393349,0.1522825943739534,0.3454733676412765,0.6545266323587245,0.1,0.1165546982029901,9.632737815593556,0.01040297999915401,0.2507074862036802,0.0008491472419722497,9.863419761144987,0.1365802388550201,0.002186604453428495,2.398774739045037,4.542177708366619,0.08426726883711272,0.87800161064934,0.1198117848972348,0.4968152694085032,0.3235722375020223,0.6,0.2649724671152783,0.08940890498275279,0.2649724671152783,0.2649724671152783,0.6764277624979775,0.03670626717718522,0.1052687187276717
80,0.338213824912791,1.924766926734224,0.3691683575116947,1,0.1735601614890696,0.1872772624242086,0.3906118249733789,0.6093881750266222,0.1,0.07189070610320483,9.644337133121375,0.01049551943112188,0.2837721607755599,0.0009089454079143086,9.861589211027685,0.1384107889723278,0.002305366105710493,3.866883629072317,4.350821107087539,0.1374338230692482,0.7729360363401913,0.2247585975541015,0.8591319889715495,0.3235722375020222,0.6,0.3271376505403466,0.1702725278500895,0.3271376505403466,0.3271376505403466,0.6764277624979775,0.04526218384555251,0.202907671023886
90,0.3382138735523638,1.499067687672528,0.3211048550697073,1,0.2086052905613723,0.2190639992110814,0.4423249991029435,0.5576750008970576,0.1,0.051697069747609,9.643817012462765,0.01053189972558187,0.3044859177898265,0.0009410267694488652,9.860956330065326,0.1390436699346853,0.002251906834320483,5.374068218309692,4.183498969024765,0.189227975482259,0.6781538890662672,0.3195942040994151,1.2465323322862,0.3235722375020222,0.6,0.4001793978138513,0.2634902224746065,0.4001793978138513,0.4001793978138513,0.6764277624979775,0.05543699374797953,0.3178265119338403
