Time,E2F1,E_cadherin,Foxo3a,IL6,ILK_activity,ILK_protein,NFkB_activity,NFkB_inactive,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,Snail,Stat3_inactive,T315,YB_1,Zeb1,p_473S_Akt,p_GSK3beta,p_Stat3,p_mTOR,vimentin
0,0,1,1,0,0,0,0,1,0.1,10,0,0,0,0,10,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0
10,5.294851056257236e-08,1.785331757813457,0.9999524184233501,7.119219468249603e-07,7.442152579973476e-05,7.184381086336556e-05,5.09945014541021e-05,0.999949005498546,0.1,8.114057715644405,1.875682191151309,0.00119381210315865,0.01026009320401366,5.57935693322044e-05,9.988896297854847,0.0111037021451467,5.118602603592836e-05,0.02137664945232243,4.989319170255444,0.0001384382323573965,0.9997734952610809,0.0001753187128794387,0.003887552756232195,0.9999995778535322,0,6.639063340640607e-05,0.0005962099139297019,6.639063340640605e-05,6.639063340640607e-05,4.221464678171329e-07,8.466329376887957e-06,0.0006716883293256584
20,2.313927238006068e-06,2.257895785198124,0.9994534643350224,1.001868951728818e-05,0.0003108211294856507,0.0002279428521261382,0.0004747239087381275,0.9995252760912621,0.1,6.263316855924419,3.710446684487342,0.002625538051736858,0.0262364595880319,0.0001342956454681708,9.970331455767452,0.02966854423254732,0.0002051736931676131,0.03542191046332139,4.972605493207982,0.0003190872680530907,0.9992953357094739,0.0004994905973542777,0.007078619207962025,0.9999897172172572,0,0.0003985215530278929,0.001358908623604097,0.0003985215530278929,0.0003985215530278929,1.028278274289217e-05,5.326440510177107e-05,0.001604991302047923
30,1.465615474961431e-05,2.538983459466186,0.9978969691679721,3.864300038467248e-05,0.0007776680159096304,0.0005247503291605203,0.001575210745790191,0.9984247892542097,0.1,4.464790020305002,5.485150920805188,0.00405430211833507,0.0500590588908871,0.0002242195712167695,9.951277550068532,0.04872244993146564,0.0004297696307400361,0.05999641072994356,4.947367630001725,0.0007351861345086578,0.9983860945982842,0.001184135770971492,0.0120122943901567,0.9999499832896488,0,0.001125943646827798,0.002366488285050886,0.001125943646827798,0.001125943646827798,5.001671035098188e-05,0.0001523769966817638,0.002828716391848538
40,4.743887303473883e-05,2.699737436913974,0.9944316752083088,9.898809114841245e-05,0.001733548808965669,0.001167068152054398,0.003810539866809239,0.9961894601331908,0.1,2.735997840055912,7.178393464881514,0.005440768318198315,0.08560869506395929,0.0003271810703152905,9.932723335015709,0.06727666498429243,0.0007071358659934661,0.112949861592776,4.908558467244124,0.001910224483626739,0.9964045678619731,0.002888296272029398,0.02170793056664783,0.9998578462613809,0,0.002581996685035675,0.004159532830011025,0.002581996685035674,0.002581996685035675,0.0001421537386192898,0.0003504221900146271,0.004966529564122975
50,0.0001174289181671028,2.775049600805851,0.9868549150299676,0.0002273148664040455,0.004282105251785097,0.00311769719694457,0.008748576302585069,0.9912514236974149,0.1,1.169407120503502,8.691680804865937,0.006723084739116233,0.1389120746329292,0.0004471179215544661,9.915292265235689,0.08470773476431367,0.001033923216800487,0.2832520003976517,4.844069583327619,0.006863853847205077,0.9902926297292579,0.00867344705393765,0.0483330800161549,0.9996651376714533,0,0.006074512306835275,0.008465120305226895,0.006074512306835274,0.006074512306835275,0.0003348623285471165,0.0008209051575671774,0.01000484361748812
60,0.0002800746296764975,2.741723805306856,0.9656019891951353,0.0005898501566761917,0.015245253484086,0.01256925203084134,0.0242311747036285,0.9757688252963715,0.1,0.2754044104811419,9.521977517455017,0.007571672643297472,0.2026180720657989,0.0005645570464072419,9.902050467355297,0.09794953264470212,0.00138795874345601,1.051852601830037,4.723172477662359,0.03412672767515725,0.9604818344497017,0.03813020680683826,0.1628771508252334,0.9991794954717755,0,0.01901667471423822,0.02495733943870894,0.01901667471423822,0.01901667471423822,0.0008205045282248134,0.002536906163130575,0.02891137766529025
70,0.0008148840381774297,2.474639771504755,0.8856379982820204,0.002037659267536123,0.05555927091691734,0.04039599160439587,0.08677185055936597,0.9132281494406341,0.1,0.1114388570724489,9.63813878386488,0.007815281818633195,0.2504223590657874,0.0006384221612195009,9.897030950812164,0.1029690491878297,0.001643501532475115,2.467832263008744,4.537583072508741,0.08679089823537228,0.8754347519709604,0.1229217464965564,0.4574306967471377,0.9973904265675543,0,0.07280730692831744,0.07802128978377486,0.07280730692831744,0.07280730692831744,0.002609573432445824,0.009754866064788771,0.09077938777931228
80,0.002672631431844054,2.000944816398389,0.6908645986282632,0.005899362171409187,0.1232575445133924,0.07645788173146614,0.2258606096808895,0.7741393903191104,0.1,0.06812127265035763,9.648706013781275,0.00788289434137213,0.2831727135719087,0.0006827754707937824,9.895679729597044,0.1043202704029527,0.001727342579295198,4.014507706397776,4.340962830327337,0.1425087778758662,0.7673270972453334,0.2309455601753632,0.844597895606136,0.9917618449003172,0,0.1885846976473004,0.1634608408613765,0.1885846976473004,0.1885846976473004,0.008238155099682804,0.0256453590783991,0.1938076502009581
90,0.00650129934703878,1.520464882018647,0.4635886682319723,0.01089567302232473,0.1950124678095838,0.1095938859914638,0.3737069120015009,0.6262930879984987,0.1,0.04829695132311294,9.648133395073916,0.007909679579557616,0.3035696536064403,0.0007061276092167325,9.895211300237069,0.1047886997629292,0.001679284643192524,5.659730667935235,4.166040608890127,0.1985362481590751,0.6688526382643569,0.3294680770924425,1.275178185116588,0.9824890007256503,0,0.3342695467212544,0.2652312119599187,0.3342695467212543,0.3342695467212544,0.01751099927434944,0.04590284569545437,0.3189221488849407
100,0.01104357856798247,1.156047977394911,0.3145559171830288,0.01484261336114713,0.2573993821347669,0.1365818568888477,0.4771157857309479,0.5228842142690516,0.1,0.03693918885683942,9.648309004381099,0.007923121773575417,0.3147518067655163,0.0007146723743115483,9.894994072628737,0.1050059273712598,0.001561787941182363,7.403965273990286,4.018782285765595,0.2547164290188864,0.5889651939238202,0.40947301813499,1.734314638617585,0.9736171540795912,0,0.4734884892452944,0.376313787670764,0.4734884892452945,0.4734884892452944,0.02638284592040863,0.06538469317891636,0.4565554197881991
110,0.01477168052153296,0.913920473341592,0.2416389361724912,0.01738147494978985,0.307686123441587,0.157864212533415,0.5412893890645487,0.4587106109354509,0.1,0.02964694393507253,9.650771884654922,0.007930627702314045,0.3195811714134124,0.0007136877752479166,9.894876808111391,0.1051231918886063,0.00142077845839841,9.231974072232166,3.894910537770881,0.310793394212466,0.525998791171565,0.4725804303700293,2.212777067051872,0.9673436429264766,0,0.5906601392615727,0.4934698503097977,0.5906601392615727,0.5906601392615727,0.03265635707352327,0.08182635789016683,0.6022202169929555
120,0.01731089851541937,0.7549313210873739,0.2059088224935634,0.01897550411703322,0.3475373411266755,0.1747293096317011,0.5819650324842568,0.4180349675157428,0.1,0.02462311157435938,9.655108481979598,0.007935079111576381,0.3202684064494832,0.0007070388604004888,9.894808619493482,0.1051913805065103,0.001281324287881707,11.12437831819664,3.788631812550078,0.3664292708476962,0.4760365287072533,0.5226821470048659,2.70413151477614,0.9633556117706289,0,0.6846851225524708,0.6146681825063648,0.6846851225524708,0.6846851225524708,0.0366443882293709,0.09503054858597157,0.7532029759109991
