Time,E2F1,E_cadherin,Foxo3a,IL6,ILK_activity,ILK_protein,NFkB_activity,NFkB_inactive,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,Snail,Stat3_inactive,T315,YB_1,Zeb1,p_473S_Akt,p_GSK3beta,p_Stat3,p_mTOR,vimentin
0,0,1,1,0,0,0,0,1,0.1,10,0,0,0,0,10,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0
10,0,1.785332525951097,0.9999506596166483,0,7.874659923381174e-05,7.692536084220037e-05,5.297284198819621e-05,0.9999470271580119,0.1,8.120915906315149,1.868864414011814,0.001579972414559834,0.01021967967338029,7.384017927130746e-05,9.985300980902647,0.01469901909735642,6.779621168276127e-05,0.02133681749952834,4.989325602228843,0.0001380249175407005,0.9997571469991188,0.0001750567891937781,0.003883834288388591,1,0,6.953562141965539e-05,0.0005958784914616744,6.953562141965539e-05,6.953562141965539e-05,0,8.854197652668526e-06,0.0006713311228467667
20,0,2.257910511087742,0.9994149104279461,0,0.0003375342039431948,0.0002481048014928393,0.0005100306987699741,0.9994899693012301,0.1,6.290372002114575,3.683619750868779,0.003464924312521225,0.02600824701726105,0.0001771640237694089,9.960852173672045,0.03914782632796079,0.00027106872688968,0.03515891373687366,4.972731910046666,0.0003155056279711099,0.999232826715756,0.0004961045573495349,0.007047359740141316,1,0,0.0004307491210700895,0.001354871019536067,0.0004307491210700895,0.0004307491210700895,0,5.75418601468318e-05,0.001600461244135454
30,0,2.539080480078858,0.9977244789298804,0,0.0008388705385452343,0.0005622084753457482,0.001707117188479558,0.9982928828115207,0.1,4.524268093092998,5.426404639289382,0.005335180886226018,0.0493272676173783,0.000294716262041847,9.935928047421452,0.06407195257855491,0.0005661275084264706,0.05887482107139626,4.947933693562383,0.0007152012299094423,0.9982708786717951,0.001162993819773438,0.01186529156821619,1,0,0.001219094741793722,0.002345592311193958,0.001219094741793722,0.001219094741793722,0,0.0001650367526465757,0.002804905025541031
40,0,2.700219988757842,0.9940271408324497,0,0.001812852500866574,0.001201366748772906,0.004070666801084762,0.9959293331989154,0.1,2.837236443128017,7.079069638405281,0.007140534954429073,0.08369391846274198,0.0004281734369086559,9.911819411123147,0.08818058887685995,0.0009282167085482152,0.1081622846752932,4.910380828713112,0.001797626880788103,0.9963005474936631,0.002771235797782753,0.02105573481992403,1,0,0.002733736308959787,0.004066714171134546,0.002733736308959787,0.002733736308959787,0,0.0003714218851522162,0.004860440128865071
50,0,2.777540543490856,0.9863260319570862,0,0.004202159990851066,0.002969848500430797,0.008978856175512324,0.991021143824488,0.1,1.302878882722658,8.562516809133784,0.008813384018364718,0.1346043081394993,0.0005824660217205763,9.88922667963069,0.1107733203693141,0.001351774861941878,0.254688645435209,4.849604237480282,0.005982589230540491,0.9907736008721267,0.007874624265925325,0.04469604452391928,1,0,0.006111151581755962,0.007988181473577684,0.006111151581755963,0.006111151581755962,0,0.0008277464489427492,0.009463654266065307
60,0,2.757669641874882,0.9666516841201686,0,0.01340399078397747,0.01075786914371616,0.0228520880835409,0.9771479119164596,0.1,0.3354479993864657,9.466648280826398,0.01000003006832486,0.197903719783691,0.0007394245190365295,9.871361421470835,0.1286385785291697,0.001815879745061377,0.8906344325764827,4.739291797045619,0.02826576573313665,0.966200707081585,0.03198341317334718,0.1391401442186397,1,0,0.01730039665900116,0.02176226164761758,0.01730039665900116,0.01730039665900116,0,0.00231637075129522,0.02530220288306799
70,0,2.529640600255227,0.8977159092357585,0,0.04813719447814016,0.03538648110764536,0.0761220402238052,0.9238779597761955,0.1,0.1278339303451969,9.624770511184353,0.01038239568648257,0.2473955584670713,0.0008429611925340584,9.863818371093377,0.1361816289066295,0.002175376345905254,2.190970048420574,4.565713114511418,0.07669669260375422,0.8906483267748985,0.1071762968791897,0.4007319212734632,1,0,0.06290357372812008,0.0676776281714845,0.0629035737281201,0.06290357372812008,0,0.008426230411270058,0.07870487682084926
80,0,2.089325646775197,0.7212694569682281,0,0.1106921359584951,0.06948734239626221,0.2031905275111278,0.7968094724888729,0.1,0.07681978753167845,9.641544865189354,0.01048737401404492,0.28163534727574,0.0009058016866053785,9.861729957200385,0.1382700427996208,0.002317111589134551,3.619567400246723,4.376809688745196,0.1287593525839272,0.7881101902916083,0.2095726981192509,0.7572183853648932,1,0,0.1674129317395104,0.1455157236806327,0.1674129317395103,0.1674129317395104,0,0.02274261645322286,0.1723161326519713
90,0,1.61810690872938,0.497029300750721,0,0.1793512805431746,0.10153221384615,0.3493681676655034,0.650631832334497,0.1,0.0544804844232096,9.642154921118662,0.01052770811793508,0.3033645944549475,0.0009403189788140886,9.861022774620512,0.1389772253794912,0.002280199714026067,5.098940043219566,4.208153850073325,0.1800183309622718,0.6924770944694573,0.3052427058165099,1.149530480429096,1,0,0.3047918747084997,0.2386646394177247,0.3047918747084997,0.3047918747084997,0,0.04182543579187708,0.2868060270748158
