Time,E2F1,E_cadherin,Foxo3a,IL6,ILK_activity,ILK_protein,NFkB_activity,NFkB_inactive,O2,S12_PHD,S13_HIF_PHD,S14_HIFOH,S15_HIF_ARNT_PHD,S16_HIFOH_ARNT,S17_VHL,S18_HIFOH_VHL,S22_HIFOH_ARNT_HRE,S3_HIF,S4_ARNT,S5_HIF_ARNT,S6_HRE,S7_HIF_ARNT_HRE,Snail,Stat3_inactive,T315,YB_1,Zeb1,p_473S_Akt,p_GSK3beta,p_Stat3,p_mTOR,vimentin
0,0,1,1,1,0,0,0,1,0.1,10,0,0,0,0,10,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,0,0
10,0.140707678492425,1.785181503294642,0.9937724107229632,0.04988534804921876,0.00712088823918738,0.004800172093495728,0.006571926932171045,0.9934280730678287,0.1,8.11290504579418,1.876828713645101,0.001194414717086673,0.01026624056073964,5.581875203656922e-05,9.988892777067386,0.01110722293260073,5.119697325891875e-05,0.02141580890833947,4.989312630683367,0.0001386681024275355,0.9997733580985734,0.0001754449281669928,0.004674106230138686,0.7613781305669334,0,0.007721906849592286,0.0006625486621911165,0.007721906849592286,0.007721906849592286,0.2386218694330665,0.001009263422842824,0.0007427888818587613
20,0.06017215301582188,2.255811940842513,0.9662677903431618,0.003145043356896025,0.00676492756988443,0.002316329489375902,0.02517634406275254,0.974823655937247,0.1,6.255259973802977,3.718441536681557,0.002630699812247922,0.02629848951563567,0.0001345555955539286,9.970282644556463,0.02971735544352339,0.0002054326951618547,0.03558513154839893,4.972539708544431,0.0003206491377313946,0.999293402793356,0.0005011645114813602,0.01011939860280912,0.9516041792143239,0,0.01480191791917209,0.001882078537667281,0.01480191791917209,0.01480191791917209,0.04839582078567597,0.002066844816248717,0.002204728871100458
30,0.01568527789383042,2.534094411390603,0.9513128207205661,0.0009752052564385049,0.003365002473985787,0.00107590074156416,0.02433203665750789,0.9756679633424918,0.1,4.450102004773344,5.499661366815542,0.004064872418830941,0.05023662841100588,0.0002248410867742278,9.951155662695903,0.04884433730408213,0.0004307347096057142,0.06034583796634722,4.947175726074088,0.0007407334375041762,0.9983779290093702,0.001191336281023187,0.01487269452633651,0.9910946450124464,0,0.009921000945566541,0.003108082286272736,0.009921000945566541,0.009921000945566541,0.008905354987553587,0.001409775589250938,0.003734125525372019
40,0.003819866307494041,2.693902393398345,0.953711534433932,0.0006183145015997375,0.002511978845040237,0.001307810402599749,0.01575805239111748,0.9842419476088817,0.1,2.718753319881713,7.195280940122103,0.005454064702707816,0.08596573999636735,0.0003281420395907353,9.932555109611373,0.06744489038862179,0.0007090532486961929,0.1138531705771587,4.908151481060343,0.001931221742806674,0.996376584839105,0.002914361912198218,0.02332468282391914,0.9974846704269831,0,0.006038344086438211,0.004698638430555649,0.006038344086438211,0.006038344086438211,0.002515329573017202,0.0008496283592770127,0.005662733136165848
50,0.001179644397148008,2.769825200098057,0.9579531390206364,0.0004547084583287876,0.00453890726287422,0.003193271127300107,0.0134479974587884,0.9865520025412107,0.1,1.154297383341506,8.706188391155282,0.006735633830753912,0.139514225504618,0.0004483612333194739,9.915119945479262,0.08488005452074217,0.001036797674886942,0.2869792527823612,4.843225571742342,0.006981597347862092,0.9901697558281302,0.008793446496982242,0.04943465739561172,0.9987750241793129,0,0.007227066846852298,0.008792628090983273,0.007227066846852296,0.007227066846852298,0.001224975820687263,0.0009875134197745745,0.01043715683391158
60,0.0006378021857773231,2.736549909776994,0.946977628752708,0.0006765387529923465,0.01555119284885794,0.01278651000103866,0.02604529364127522,0.9739547063587241,0.1,0.2713433121445155,9.52548044069191,0.007576783997871009,0.2031762471618175,0.000565500425436353,9.901953242865606,0.09804675713439888,0.001390932926852253,1.065889433884211,4.721455337050403,0.03464487992984074,0.9598419645674355,0.03876710250571147,0.1654266944032232,0.9988342205494588,0,0.0196240014639969,0.02540789467944375,0.0196240014639969,0.0196240014639969,0.001165779450541209,0.002621422171723401,0.02945573601917974
70,0.0009494010291491387,2.46808537745444,0.8740084643448961,0.002090136012084096,0.05622785529907529,0.04079016965777003,0.08834732440343748,0.911652675596562,0.1,0.1106607275650056,9.638539342802845,0.007816532565205626,0.2507999296172149,0.0006389544403792688,9.897004701465987,0.1029952985340156,0.001644884717962119,2.484808300521036,4.535407876041796,0.08741126182235116,0.8742580219221997,0.1240970933598374,0.4615037292479526,0.9972392564506385,0,0.07387580403741466,0.07887429425879128,0.07387580403741466,0.07387580403741466,0.002760743549361693,0.009900724169486747,0.0918010636427456
80,0.002745539828147318,1.994324095974738,0.683956863182716,0.005960060422810871,0.1240884300878006,0.07686114127876395,0.2277289145398653,0.7722710854601338,0.1,0.06781779405754788,9.648742670650252,0.007883324627272021,0.283439535293236,0.000683102858493813,9.895671822969007,0.1043281770309931,0.001727078458771476,4.032565374639398,4.338859255339451,0.1431467337367598,0.7661286272279975,0.2321442943132297,0.8492830165684908,0.9916385614062547,0,0.1901709458482912,0.1645500251574512,0.1901709458482912,0.1901709458482912,0.008361438593745763,0.02586495131103681,0.1951403062861052
90,0.006563795447184531,1.515318250199091,0.4602015248232487,0.01094929048849662,0.1957832396297072,0.1099347451181371,0.3751560331080249,0.6248439668919743,0.1,0.04813358757936476,9.648142696100088,0.007909880275633005,0.3037237163209632,0.0007062655282012452,9.895207956564906,0.104792043435095,0.001678039784468902,5.678950156423053,4.164241182900537,0.1991723614999462,0.6678435262495438,0.3304784339659844,1.280241094019926,0.9823714991423371,0,0.3359330743536744,0.266446991868116,0.3359330743536748,0.3359330743536744,0.01762850085766347,0.046135126860283,0.3204252419394896
